Route,Cost,Region
"['Countdown Mt Eden', 'Countdown St Lukes']",411.055,Central Region
"['Countdown Mt Eden', 'Countdown Three Kings']",428.56125,Central Region
"['Countdown Mt Eden', 'Countdown Victoria Street West']",483.931875,Central Region
"['Countdown Mt Roskill', 'Countdown Newmarket']",483.24625000000003,Central Region
"['Countdown Mt Roskill', 'Countdown Onehunga']",404.15999999999997,Central Region
"['Countdown Mt Roskill', 'Countdown Ponsonby']",473.37062499999996,Central Region
"['Countdown Mt Roskill', 'Countdown Pt Chevalier']",482.21187499999996,Central Region
"['Countdown Mt Roskill', 'Countdown St Lukes']",396.31437500000004,Central Region
"['Countdown Mt Roskill', 'Countdown Three Kings']",404.72875,Central Region
"['Countdown Mt Roskill', 'Countdown Victoria Street West']",508.0143750000001,Central Region
"['Countdown Newmarket', 'Countdown Onehunga']",442.22749999999996,Central Region
"['Countdown Newmarket', 'Countdown Ponsonby']",452.30875,Central Region
"['Countdown Newmarket', 'Countdown Pt Chevalier']",480.660625,Central Region
"['Countdown Newmarket', 'Countdown St Lukes']",416.86,Central Region
"['Countdown Newmarket', 'Countdown Three Kings']",413.306875,Central Region
"['Countdown Newmarket', 'Countdown Victoria Street West']",458.90125,Central Region
"['Countdown Onehunga', 'Countdown Ponsonby']",456.54812499999997,Central Region
"['Countdown Onehunga', 'Countdown Pt Chevalier']",474.69875,Central Region
"['Countdown Onehunga', 'Countdown St Lukes']",393.01,Central Region
"['Countdown Onehunga', 'Countdown Three Kings']",359.991875,Central Region
"['Countdown Onehunga', 'Countdown Victoria Street West']",479.8025,Central Region
"['Countdown Ponsonby', 'Countdown Pt Chevalier']",473.871875,Central Region
"['Countdown Ponsonby', 'Countdown St Lukes']",406.0175,Central Region
"['Countdown Ponsonby', 'Countdown Three Kings']",439.725625,Central Region
"['Countdown Ponsonby', 'Countdown Victoria Street West']",457.94062499999995,Central Region
"['Countdown Pt Chevalier', 'Countdown St Lukes']",431.02750000000003,Central Region
"['Countdown Pt Chevalier', 'Countdown Three Kings']",474.375,Central Region
"['Countdown Pt Chevalier', 'Countdown Victoria Street West']",507.59124999999995,Central Region
"['Countdown St Lukes', 'Countdown Three Kings']",369.503125,Central Region
"['Countdown St Lukes', 'Countdown Victoria Street West']",440.69937500000003,Central Region
"['Countdown Three Kings', 'Countdown Victoria Street West']",453.285625,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Greenlane']",698.361875,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn']",664.964375,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn Central']",727.9812499999999,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Lynfield']",604.520625,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Mt Eden']",692.628125,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Mt Roskill']",651.12,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Newmarket']",701.474375,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Onehunga']",613.4293749999999,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Ponsonby']",685.373125,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier']",683.58375,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown St Lukes']",616.061875,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Three Kings']",629.1956250000001,Central Region
