Route,Cost
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Ponsonby', 'Distribution Centre Auckland')",777.578125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",732.1712500000001
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown St Lukes', 'Distribution Centre Auckland')",698.008125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Three Kings', 'Distribution Centre Auckland')",801.44125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",838.82875
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",672.7062500000001
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",638.358125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Lynfield', 'Distribution Centre Auckland')",703.056875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Eden', 'Distribution Centre Auckland')",621.1125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",679.03375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Newmarket', 'Distribution Centre Auckland')",628.423125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Onehunga', 'Distribution Centre Auckland')",623.69125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Ponsonby', 'Distribution Centre Auckland')",704.8387499999999
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",657.104375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown St Lukes', 'Distribution Centre Auckland')",617.375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Three Kings', 'Distribution Centre Auckland')",723.8325
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",776.200625
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",612.794375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",585.89375
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Eden', 'Distribution Centre Auckland')",662.3787500000001
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",676.3356249999999
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Newmarket', 'Distribution Centre Auckland')",674.900625
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Onehunga', 'Distribution Centre Auckland')",605.855
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Ponsonby', 'Distribution Centre Auckland')",771.2987499999999
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",691.255
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown St Lukes', 'Distribution Centre Auckland')",645.738125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Three Kings', 'Distribution Centre Auckland')",699.344375
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",822.678125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",659.27125
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",632.64125
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",638.3525
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Newmarket', 'Distribution Centre Auckland')",582.47875
